"Building Type (Residential = 1, Commercial = 2, Industrial = 3",Square Footage,Number of Occupants,Appliances Used,Average Temperature,"Day of Week(Weekday = 1, Weekend = 0)",Energy Consumption
3,46417,82,20,23.44,1,5973.63
3,22515,60,30,13.61,0,4757.71
2,17459,3,37,27.75,1,3554.19
1,39714,82,41,16.32,1,5094.1
3,43501,83,31,26.67,1,6041.7
1,7787,73,35,19.29,1,3272.91
2,16958,2,49,30.66,1,3744.59
3,40211,75,21,28.17,1,5589.71
3,6484,19,36,22.89,0,3619.74
1,41496,73,2,14.29,0,4273.37
2,20672,46,10,18.4,1,3651.6
1,9101,15,4,12.87,1,2170.7
2,17827,35,4,24.93,1,3246.71
2,12061,40,4,14.57,0,3010.22
2,11862,5,36,33.46,0,3195.8
2,24863,50,40,25.81,0,4414.12
2,9019,60,48,31.53,1,3903.29
2,6224,15,39,28.75,0,3097.45
2,44013,15,49,10.43,0,5278.51
1,30515,93,3,32.87,1,3901.38
1,49646,12,12,18.68,1,4298.92
1,48903,70,22,23.91,1,5015.61
2,9517,82,46,13.2,0,4149.86
2,29878,16,41,31.63,0,4315.75
1,18771,66,4,14.36,0,3106.77
1,34072,12,13,29.68,0,3435.18
3,9095,5,34,29.59,0,3536.81
3,26792,86,10,15.01,1,4874.53
2,45580,68,4,33.33,1,4922.36
1,14525,58,24,27.49,0,3148.79
3,26529,54,47,32.58,0,5143.54
1,19563,65,27,22.5,0,3555.64
3,13525,21,25,32.25,1,3775.01
1,18086,21,8,17.75,0,2685.54
3,31407,2,39,23.03,1,4805.22
3,36454,72,40,10.71,0,5789.16
2,35207,16,44,32.34,1,4688.65
2,20395,42,27,15.63,1,3951.62
1,48382,95,1,31.98,1,4779.18
2,12200,95,8,29.74,1,3621.32
3,41131,12,14,13.25,0,4890.31
3,21177,69,7,32.54,1,4276.15
1,11182,13,45,12.11,0,3028.56
1,3208,68,29,14.07,0,2850.05
1,2853,81,37,23.68,0,3074.25
3,9496,85,21,28.01,0,4104.73
2,14653,47,4,13.55,0,3214.88
3,40829,52,4,32.3,0,4979.96
3,34508,98,24,10.55,1,5682.63
2,32396,23,43,28.56,1,4616.98
3,40185,73,23,34.62,1,5576.14
3,37765,92,35,25.8,0,5879.25
2,24321,78,17,34.79,1,4212.08
3,30366,21,28,28.96,0,4643.49
1,7991,13,18,21.04,0,2284.33
1,29041,10,10,21.71,1,3193.51
3,21170,89,8,27.28,1,4522.1
3,32098,4,13,27.18,0,4269.02
2,23911,93,48,31.37,1,4978.71
1,17529,43,44,19.34,1,3639.76
3,8507,36,28,19.36,1,3798.54
2,36159,79,30,34.31,1,5076.4
2,9002,99,41,19.66,1,4211.82
1,40415,8,48,12.44,1,4548.56
2,13761,3,28,31.36,1,3171.27
1,14007,91,34,17.79,0,3701.39
2,1468,21,10,33.58,1,2365.5
3,13308,16,41,27.82,1,4056.28
3,46148,30,39,33.84,0,5718.21
3,30469,55,26,28.11,1,5002.91
3,9442,25,31,15.3,1,3815.61
2,28571,25,21,26.8,0,3964.54
2,26672,8,1,19.76,1,3384.78
2,25291,83,17,17.14,0,4348.86
3,22616,31,47,17.91,1,4841.23
3,33726,70,34,10.13,1,5565.67
1,2896,51,27,11.96,1,2684.98
3,27876,52,26,10.39,0,4881.83
3,43374,64,15,11.73,1,5600.03
1,32487,95,49,16.69,1,5020.9
2,44085,10,30,10.68,1,4900.84
2,13721,8,10,20.28,0,2864.63
3,36559,73,28,14.86,0,5543.64
3,21453,58,6,19.1,1,4227.17
1,49810,65,33,24.63,1,5227.37
3,27245,90,44,33.51,0,5474.72
3,7283,88,44,19.54,1,4576.47
3,47827,44,23,30.84,0,5637.13
3,16922,57,19,20.07,0,4195.75
1,29206,41,31,24.01,1,3920.23
2,6616,1,21,17.83,1,2721.67
1,22010,83,21,21.77,0,3741.64
2,3593,88,41,22.27,0,3768.3
3,15874,89,14,28.98,0,4318.82
1,10416,33,14,23.74,0,2512.1
2,9205,93,49,16.33,0,4288.58
3,29902,15,34,16.79,0,4741.16
2,7714,51,7,13.32,1,3019.12
3,24854,60,27,34.51,0,4710.15
3,29269,35,19,18.63,0,4600.3
3,45055,82,22,17.47,0,5925.39
1,17843,15,1,33.38,1,2445.25
1,15817,85,47,25.14,0,3955.17
1,34768,63,47,33.23,1,4692.24
1,8625,70,46,22.83,0,3437.1
1,5609,81,2,33.21,1,2514.4
2,35942,87,11,30.09,0,4736.66
3,45047,13,45,16.46,1,5750.07
3,20316,42,24,16.95,0,4331.04
2,34497,34,35,18.11,0,4674.31
1,15858,30,2,29.99,0,2482.94
1,4262,4,38,31.41,1,2406.04
3,9146,42,44,30.72,0,4103.69
3,16077,58,19,16.61,1,4230.79
3,24660,32,5,23.67,0,4034.64
2,48338,2,18,20.62,0,4693.8
2,24577,86,24,24.53,0,4446.22
1,11803,32,1,27.57,1,2342.32
2,16146,22,30,25.81,0,3498.27
3,11671,63,8,34.74,0,3699.87
1,17775,90,1,21.06,1,3253.47
2,23411,98,23,20.5,1,4558.07
3,43380,31,33,34.69,0,5465.54
1,27088,43,34,20.96,0,3859.59
2,34433,58,48,29.34,1,5164.94
2,12798,80,4,11.3,1,3513.41
1,15843,36,37,22.53,0,3279.51
2,9946,35,40,16.32,0,3565.7
1,22542,58,47,32.58,0,3984.2
1,15096,16,11,10.88,0,2580.42
2,40911,97,46,28.14,0,5794.83
2,44981,81,20,27.82,1,5369.95
1,33897,55,30,32.48,1,4232.44
2,35935,55,37,23.7,1,5018.25
3,1314,51,46,29.12,0,3850.11
1,8283,34,30,19.68,0,2755.75
1,2613,11,2,29.34,1,1683.95
2,10957,86,49,22.06,0,4277.54
3,35301,28,45,15.43,0,5367.9
1,23765,12,3,33.13,1,2752.62
3,32085,38,31,16,1,5074.24
3,4238,22,20,25.08,1,3256.52
2,49090,70,17,20.78,0,5390.61
3,7237,62,34,19.48,1,4114.45
3,16376,7,7,27.65,0,3390.53
3,45920,54,34,34.66,0,5842.72
1,34242,32,16,20.35,0,3750.37
1,7065,4,14,30.62,0,2020.15
1,47328,12,3,32.59,0,3883.46
1,3880,45,3,24.75,1,2130.26
3,3868,75,24,33.81,1,3804.34
3,626,2,33,23.52,0,3093.71
1,23551,93,37,26.83,1,4263.39
2,605,16,36,16.95,1,2875.48
3,12164,82,41,23.04,1,4683
3,35698,91,29,32.83,1,5660.75
1,43694,45,46,20.91,0,4950.15
2,21109,15,33,13.98,1,3845.57
3,35867,76,12,10.29,0,5241.91
3,10861,14,36,18.67,0,3809.69
3,18271,23,28,23.38,1,4136.67
3,18174,68,14,21.53,0,4261.05
3,47557,98,30,24.87,1,6383.5
1,26010,7,36,31.06,0,3435.21
3,5799,37,23,34.76,0,3446.15
2,26111,26,49,15.85,1,4516.31
1,22276,71,22,11.22,1,3757.72
1,49374,13,28,29.4,1,4561.71
3,37930,36,19,25.7,0,5008
2,8573,86,19,27.88,0,3529.25
3,1507,58,17,17.56,0,3407.54
3,23736,47,12,17.29,1,4360.36
2,11316,60,47,29.42,0,3958.7
3,24252,36,45,22.91,1,4908.05
2,7424,25,47,14.83,1,3537.04
3,19074,82,39,17.25,1,5017.45
3,11116,64,17,30.65,1,3932.56
3,41306,46,41,19.34,1,5798.61
3,2242,9,37,11.08,0,3386.72
2,34520,96,27,29.12,0,5080.4
1,2943,13,29,17.8,1,2318.15
1,45123,5,47,13.18,1,4730.23
3,34657,21,47,20.15,1,5332.1
1,42255,78,47,27.14,1,5247.04
2,12701,64,45,13.45,1,4157.81
3,46507,41,30,22.6,1,5772.35
3,6650,87,33,19.31,0,4265.97
2,29421,16,21,34.73,1,3927.4
1,47563,41,8,18.18,0,4357.27
2,33782,71,40,29.61,0,5051.07
1,42474,62,45,18.51,1,5101.13
3,27416,25,37,15.11,0,4785.27
3,22091,44,30,11.25,0,4588.3
3,27920,28,1,20.84,1,4141.78
2,2969,92,32,25.47,1,3631.08
2,43506,12,34,11.1,1,4969.79
3,23361,26,26,29.05,0,4302.81
2,28452,10,43,26.04,0,4252.4
3,47914,47,12,33.71,0,5437.17
1,1226,58,3,22.79,1,2137.35
3,9166,15,3,11.8,0,3109.29
2,9283,41,40,12.19,1,3663.21
3,7140,65,11,13.97,1,3707.17
2,36721,66,46,15.58,0,5338.17
2,22092,4,1,12.19,0,3103.65
2,22026,70,12,21.58,0,3933.39
2,17161,46,27,17.59,1,3820.1
3,16741,19,27,23.89,0,3947.61
2,24150,46,21,28.41,0,3945.47
3,35388,13,49,15.09,1,5353.94
2,6599,27,28,12.39,0,3097.98
2,36322,8,25,27.52,0,4258.49
3,7319,21,37,31.57,1,3708.08
3,38501,84,3,32.04,1,5214.85
1,41589,50,34,33.2,1,4643.44
2,45850,49,44,24.36,1,5590.7
1,23390,50,23,23.8,0,3510.52
2,18273,37,38,33.06,1,3928.35
1,26885,94,23,16.63,0,4161.08
3,33839,64,11,27.67,1,4963.62
3,42373,18,38,27.13,0,5422.98
3,47682,20,37,26.45,0,5691.84
3,48820,51,35,30.75,1,6047.23
3,32732,60,19,31.74,1,5007.9
1,49969,32,14,26.06,0,4468.13
1,37009,79,18,20.41,1,4448.42
1,33056,3,11,32.92,0,3238.18
2,3483,79,5,10.37,0,3012.32
2,13357,83,31,10.63,1,4114.7
2,25326,33,41,21.22,0,4310.2
2,47178,27,16,24.14,0,4828.19
2,31695,99,35,28.5,0,5132.23
3,32321,58,45,32.79,0,5432.11
2,4994,79,38,29.59,1,3701.73
3,32390,37,7,25.09,0,4504.03
3,31178,68,8,32.25,1,4787.64
1,39563,16,38,28.7,1,4304.63
2,11041,68,41,20.88,0,3947.63
1,22859,24,22,32.87,1,3208.61
1,41309,55,45,15.4,1,4988.44
1,18655,13,11,23.22,1,2716.66
1,9212,77,37,25.66,1,3392.31
1,21195,18,21,16.16,0,3078.96
3,35332,23,29,25.76,1,4997.78
1,38641,9,3,19.52,0,3484.46
2,25074,41,18,26.37,0,3891.86
2,9077,26,12,18.34,0,2862.17
1,12222,80,35,20.16,0,3510.28
3,15849,37,15,18.92,0,3867.85
1,19629,21,39,12.37,1,3459.59
3,48424,49,28,11.94,1,5961.49
3,12682,62,32,34.54,1,4271.39
1,26431,91,14,25.79,1,3932.59
3,6126,49,13,18.44,1,3514.09
2,27411,41,13,13.43,1,4023.41
2,20475,79,28,13.9,1,4354.25
3,37708,91,23,29.54,0,5607.7
1,46786,17,49,29.5,1,4891.8
3,29787,77,38,30.67,1,5416.01
1,42286,50,35,11.13,1,4808.64
2,38404,21,30,24.39,0,4608.27
1,36272,93,6,32.04,1,4253.4
2,36296,35,40,32.11,1,4854.25
2,27458,99,6,23.09,0,4367.45
1,13484,42,23,25.92,0,2924.6
3,14129,50,29,18.54,0,4193.77
2,11206,72,24,14.25,0,3689.04
2,47266,14,39,14.13,0,5212.64
2,18278,7,44,32.44,0,3701.68
2,45641,41,21,15.87,1,5082.68
3,5471,24,34,28.34,1,3601.86
3,24942,35,38,20.76,0,4753.3
1,8064,90,12,20.83,1,2989.05
1,37480,45,20,20.29,1,4172.54
2,18797,94,25,20.37,0,4278
2,24589,48,7,33.17,0,3683.59
2,15782,39,18,16.16,1,3508.32
1,46243,58,3,12.25,0,4390.91
1,27806,28,21,25.4,1,3513.31
1,22973,75,45,17,0,4213.66
3,7811,57,39,21.27,1,4184.21
2,9630,25,11,27.42,1,2864.42
1,45465,3,25,10.42,0,4251.16
1,21107,70,3,24.76,1,3241.57
2,36987,22,26,15.34,1,4562.64
3,22919,55,15,29.27,0,4349.61
1,35384,21,30,18.62,1,4036.12
1,32389,91,31,21.16,0,4543.67
1,43582,92,4,18.9,0,4584.62
3,2122,68,36,31.82,1,3897.02
3,14169,52,5,18.39,0,3736.5
1,22374,14,37,22.23,1,3437.53
1,2490,91,8,25.03,1,2619.36
3,47554,72,8,25.75,0,5628.95
2,24374,89,31,33.73,0,4560.05
2,11331,47,43,21.1,0,3791.04
3,2060,69,41,12.68,1,4099.62
2,47537,34,17,16.6,1,5023.85
1,29577,82,28,13.04,1,4343.66
2,39999,24,16,17.95,1,4520.19
2,22066,98,40,25.77,1,4804.46
3,22451,93,30,20.4,1,5100.56
3,35136,87,42,30.03,1,5866.63
1,39065,75,24,10.17,1,4682.41
2,46393,19,43,15.6,1,5341.65
2,42449,48,20,14.3,0,4930.94
3,19046,46,29,28.51,1,4399.73
2,34219,92,49,27.39,0,5473.98
1,48780,1,16,10.14,0,4218.29
1,1026,90,49,11.14,0,3375.62
2,21952,22,34,25.98,0,3867.72
2,25451,60,9,28.7,0,3909.07
2,44379,15,28,15.33,0,4852.28
3,40863,47,1,17.61,0,4945.09
1,21889,44,18,18.87,1,3350.09
2,49648,49,12,30.18,0,5061.5
2,26643,49,12,25.27,1,3985.8
1,8473,9,22,12.1,1,2443.16
3,32588,75,10,13.13,0,5013.75
3,27089,69,25,29.33,1,4947.78
1,34036,35,43,16.24,0,4330.61
3,17834,66,19,23.56,1,4363.89
1,35060,39,45,26.93,0,4408.36
1,3842,45,12,34.26,1,2260.82
1,25078,95,9,24.24,0,3762.71
2,2425,70,8,34.79,0,2807.29
2,3930,1,28,30.59,0,2613.53
1,31086,52,32,13.34,1,4197.59
1,31610,15,36,14.78,1,3926.61
1,45141,36,46,31.53,0,4879.42
3,16085,95,45,23.87,0,5034.91
2,43034,23,12,14.2,0,4550.69
1,49189,51,22,24.03,1,4839.29
2,13850,45,26,20.98,0,3557.61
3,13095,76,41,29.41,1,4637.71
2,22020,43,4,28.28,1,3519.59
1,14237,45,28,28.96,1,3127.07
2,7583,16,9,30.84,0,2564.94
3,12503,59,3,12.89,0,3710.69
1,27924,85,7,17.39,0,3799.24
2,13151,58,19,26.56,1,3534.74
2,2250,11,4,22.11,1,2241.96
3,3217,11,8,23.83,0,2811.68
2,27227,89,23,15.01,1,4686.28
1,30356,25,30,27.82,0,3728.69
2,21695,53,29,11.12,1,4189.13
1,4256,44,9,21.22,1,2276.7
1,25057,21,29,24.97,0,3417.99
2,625,9,18,19.56,1,2433.47
1,28356,32,2,15.25,0,3201.55
1,14788,38,9,22.75,1,2735.63
2,45686,12,46,22.81,1,5260.26
2,42252,19,33,11.34,0,4905.91
3,42824,90,34,27.26,0,6084.9
3,32075,8,38,18.84,0,4849.54
2,47819,81,5,24.47,1,5228.59
3,14260,74,8,27.33,1,4026.33
3,36944,57,18,29.65,1,5178.97
2,15729,36,17,20.37,0,3384.58
1,12754,89,48,30.51,1,3885.13
1,39610,91,40,27.6,1,5102.49
2,39059,57,47,28.74,0,5319.27
2,21081,20,42,25.28,0,3967.63
2,17274,97,46,15.79,1,4724.76
2,11289,25,8,26.63,0,2841.31
1,35557,99,27,31.43,0,4650.7
2,35900,49,19,31.45,0,4507.73
3,2856,12,19,27.05,1,3057.53
1,48023,42,46,17.82,0,5152.04
2,4732,52,39,28.23,0,3395.45
1,34095,29,21,29.94,0,3765.06
1,10725,28,22,28.11,1,2665.72
2,25057,86,32,30.61,1,4649.81
1,5290,61,11,33.75,1,2475.76
3,2480,30,9,24.72,1,3030.38
3,19596,23,35,19.8,0,4310.82
2,2921,50,5,10.33,1,2744.38
1,29125,57,7,16.94,1,3631.54
2,20076,33,42,34.22,0,4002.72
3,2836,46,46,13.74,0,3953.1
1,10484,81,48,13.6,1,3776.21
2,24570,17,11,11.75,1,3609.75
1,4633,98,2,15.1,1,2726.13
3,47304,98,11,12.3,1,6053.68
2,36562,99,11,30.78,0,4884.18
3,19350,38,13,28.33,0,3965.87
1,1739,61,26,30.51,1,2614.4
1,32390,84,15,27.44,1,4172.29
3,45504,24,32,24.99,1,5580.25
1,48790,58,38,28.79,1,5185.54
1,37834,12,10,32.88,0,3547.29
1,23650,82,29,20.36,1,4030.72
1,46058,88,33,11.53,1,5335.23
2,9211,33,28,10.16,0,3299.75
3,21672,7,34,28.05,1,4243.36
3,39943,74,5,31.83,1,5228.01
2,1456,74,38,15.66,0,3494.52
2,20559,21,8,26.77,1,3314.12
1,42960,78,33,19.33,1,5041.34
1,42063,77,9,17.72,0,4464.55
1,49488,99,41,17.6,1,5746.4
2,41657,76,38,32.07,1,5492.51
1,2024,25,4,28.84,0,1787
3,10268,35,20,33.18,1,3647.48
3,11224,25,49,15.38,0,4214.3
2,40192,23,23,30,0,4549.59
3,25791,84,45,14.96,0,5454.74
1,22292,25,43,24.55,0,3601.83
3,1114,14,40,12.59,0,3432.74
3,42707,4,44,16.78,0,5471.43
2,23540,80,10,15.5,1,4149.49
2,16938,36,13,15.51,1,3439.34
1,17934,70,44,27.56,1,3888.89
3,37719,16,20,23.97,1,4876.08
3,4533,20,46,12.33,1,3835
2,34061,43,14,31.26,1,4306.74
1,47555,34,29,24.16,1,4726.97
1,34572,14,1,12.8,0,3324.61
1,29552,42,38,25.04,1,4082.39
2,9874,5,19,20.65,1,2870.44
3,19597,89,6,23.69,0,4371.38
2,44665,36,2,13.93,0,4563.58
1,18811,19,25,14.33,1,3108.88
1,5795,17,42,33.72,0,2631.16
2,29035,5,34,19.77,1,4132.91
2,29365,18,24,12.93,0,4063.62
2,2606,30,2,29.63,1,2372.16
2,1322,81,2,15.38,0,2839.18
1,20644,29,7,21.54,1,2904.51
2,38506,82,26,17.62,0,5177.22
1,18524,78,4,33.5,1,3168.71
3,35122,56,41,34.55,1,5513.36
3,20549,68,4,24.59,0,4164.5
2,21439,24,42,15.79,0,4073.01
3,38073,87,22,34.18,0,5542.74
2,27205,44,14,11.38,0,4023.35
1,33475,82,13,32.62,0,4090.65
1,10347,94,8,17.91,0,3027.78
2,10896,71,17,16.99,0,3509.87
3,32909,47,29,33.37,0,5028.58
1,36340,42,15,31.27,0,3880.66
1,30129,29,33,23.73,0,3837.78
3,16869,10,13,20.89,0,3598.99
1,20603,98,36,29.52,0,4082.56
3,34580,47,13,25.41,0,4831.96
2,30527,70,20,11.89,1,4616.89
2,22236,65,5,34.67,0,3688.46
3,9282,17,6,29.31,1,3157.54
3,4297,7,32,15.67,1,3396.51
1,49345,22,18,11.87,1,4537.9
3,28645,32,43,12.86,1,5097.96
2,46148,5,20,29.6,1,4659.4
2,29757,3,6,11.91,0,3578.29
2,32765,26,9,10.52,1,4075.67
3,24558,80,8,24.3,0,4566.41
2,12842,60,39,25.63,0,3893.95
3,40464,89,17,34.04,1,5633.01
1,43820,3,36,22.96,1,4376.22
3,1025,28,48,24.41,1,3719.19
2,33357,92,43,23.58,0,5329.97
2,24357,6,29,21.36,0,3751.05
3,46460,3,18,25.95,0,5083.26
2,39504,86,46,12.07,1,5744.86
1,24010,87,36,19.67,1,4242.17
2,49287,60,42,18.31,1,5862.82
1,41260,35,38,29.66,0,4524.71
2,40983,66,47,12.96,1,5634.35
1,32847,34,35,19.28,0,4085.95
2,28029,38,15,18.72,0,3987.84
1,46740,19,25,10.29,0,4475.56
3,39724,44,38,14.79,1,5662.27
3,33797,86,13,13.96,1,5290.06
2,45238,72,47,20.95,1,5867.13
2,5584,21,9,29.51,0,2521.63
2,46697,70,7,25.71,1,5096.3
1,47804,99,38,31.79,0,5481.27
1,23696,85,29,11.31,0,4058.25
2,46219,49,41,29.52,0,5473.33
3,42273,99,36,21.27,0,6217.3
3,48017,1,8,32.46,1,4958.57
3,16396,79,49,10.39,0,5037.86
3,39841,47,7,25.25,1,5025.81
1,21109,78,36,10.33,0,4003.79
2,4518,85,27,15.09,0,3540.45
1,25838,75,27,24.06,1,4011.58
1,36423,89,29,18.3,1,4749.64
3,27223,86,44,30.86,0,5446.83
3,31963,69,5,10.24,1,4886.94
2,41860,28,34,23.64,0,4934.8
2,47100,5,1,10.13,0,4374.33
2,5148,72,18,26.98,0,3202.5
3,23519,55,45,14.99,1,5101.01
1,1620,72,23,20.14,0,2660.28
1,2579,32,49,12.3,0,2867.44
3,42374,36,28,29.67,0,5390.35
1,42740,60,22,15.42,1,4649.88
3,43908,1,28,19.15,1,5219.66
1,40787,35,4,13.99,1,3949.4
1,39530,59,25,23.69,1,4498.07
1,10895,18,26,34.47,1,2622.38
2,33562,61,41,34.63,0,4934.94
1,26321,89,43,13.9,0,4496.55
2,41901,23,26,33.56,0,4677.23
2,13213,79,30,26.73,0,3916.99
1,22230,16,25,29.13,0,3125.85
1,29102,31,41,32.35,1,3973.35
1,29692,13,45,26.11,0,3884.07
1,48979,61,1,24.54,1,4506.27
2,36955,71,27,28.08,0,4957.36
1,13724,13,4,20.76,1,2342.38
2,39209,67,24,21.48,0,5003.05
3,34677,55,29,18.34,0,5272.15
1,29509,64,47,14.73,0,4481.81
1,47233,66,8,10.16,1,4680.87
1,38500,42,49,25.31,0,4698.47
2,19756,61,47,33.38,0,4370.89
1,31159,35,42,17.84,1,4208.74
2,17675,48,36,19.41,1,4036.68
2,20123,13,19,24.92,1,3441.55
1,25361,77,26,24.09,0,3937.59
1,49256,82,35,30.7,0,5329.29
1,35339,85,27,32.39,0,4494.99
2,12153,75,23,16.83,0,3733.52
3,39698,85,36,17.99,1,6014.94
3,18833,30,25,22.66,1,4178.36
1,21081,5,25,26.29,0,2972.61
3,15061,43,21,26.86,1,4018.77
3,41631,13,6,29.32,0,4684.93
3,19529,85,19,28.85,1,4612.22
1,33539,21,15,28.71,1,3593.42
1,28196,74,19,24.55,0,3907.03
2,3420,61,49,12.65,0,3697.77
2,2982,15,13,11.71,0,2500.56
2,18881,54,6,19.05,1,3558.78
2,32623,65,29,27.67,1,4772.8
2,47214,48,20,22.94,0,5126
2,27237,39,41,15.33,0,4495.21
2,27288,32,42,11.26,1,4518.12
1,30257,72,10,33.34,1,3816.15
2,49653,89,37,26.33,0,5980.98
3,26349,88,46,10.79,0,5563.48
1,37629,17,14,21.58,0,3723.56
2,41696,98,43,33.1,1,5809.3
3,14098,16,45,19.1,0,4169.39
2,37435,26,35,21.64,1,4773.54
2,8470,50,46,26.35,1,3761.75
1,25019,19,35,28.29,1,3549.48
3,16501,63,45,10.2,1,4854.04
1,13909,62,21,18.76,0,3141.67
1,802,17,40,20.5,1,2457.6
3,18523,79,45,22.39,1,5054.19
3,10003,3,47,10.74,0,3916.46
3,32684,99,38,34.99,0,5709.26
3,46039,41,36,31.89,1,5822.52
2,22063,92,8,33.62,0,4015.07
2,20008,99,41,11.55,0,4752.66
2,20433,78,30,29.41,0,4254.59
3,40474,82,6,21.1,0,5358.22
2,42787,40,48,23.38,0,5382.43
1,35696,70,47,10.4,1,4922.82
3,20837,1,13,26.45,1,3729.59
1,43259,33,41,30.12,1,4712.33
1,14112,3,17,21,0,2470.59
3,26022,24,21,29.31,0,4314.56
2,26119,34,27,29.2,0,4039.93
1,40248,68,20,30.71,1,4488.84
2,24395,60,5,15.03,0,3844.62
3,13880,28,19,24.15,0,3733.24
1,39163,12,44,10.73,1,4454.51
2,4472,15,34,21.32,1,2996.99
3,20316,69,29,11.85,1,4776.54
1,38067,14,23,26.61,0,3870.32
2,7138,60,27,34.94,1,3372.2
2,25417,49,49,22.92,1,4676.25
2,7040,4,20,22.82,1,2727.89
3,7679,58,32,28.94,1,4009.27
